Case ID,CM,DTA,KP,KPT,NB
156;1,21;0,62;1,19;-0,49;0,66
157;0,24;-0,37;-0,12;1,44;-0,62
158;1,21;1,15;1,19;0,04;1,14
159;0,23;0,33;-0,49;-0,49;-0,19
160;-0,75;-0,78;-0,95;0,04;-0,62
161;-0,20;-0,78;-0,95;0,21;-0,62
162;-0,43;-3,12;-3,88;1,96;-1,56
163;0,67;1,15;0,38;1,26;-1,08
164;1,21;1,15;1,19;1,96;1,14
165;0,35;-0,25;-0,08;1,96;0,66
166;-0,63;-1,19;-0,95;-0,49;-0,15
167;-0,20;0,21;-0,58;0,74;-0,16
168;-0,20;-0,37;-0,95;0,74;-0,62
169;0,67;0,22;-0,95;0,74;0,27
170;1,21;1,15;1,19;-1,18;1,14
171;-0,20;-0,78;-0,95;-0,49;0,36
172;1,21;0,33;1,19;1,96;-1,06
173;-0,20;0,22;-0,05;0,74;1,14
174;0,67;1,15;-0,04;1,96;0,70
175;0,77;1,15;1,19;1,44;1,14
176;-0,20;-0,78;-0,04;-1,18;-0,62
177;-0,52;1,15;1,19;-1,71;1,14
178;-2,04;0,22;-0,42;-0,49;1,14
179;-0,20;-0,78;-0,95;0,74;-0,62
180;-0,64;-0,78;-0,05;0,21;-1,91
181;-1,93;-1,19;-0,95;1,96;-1,91
182;-1,60;-1,59;-1,36;1,26;0,32
183;1,21;1,15;1,19;-0,49;0,75
184;1,21;1,15;1,19;-1,71;1,14
185;0,24;-0,20;0,82;0,04;-0,62
186;-0,20;1,15;-0,95;0,74;1,14
187;-1,07;1,15;1,19;-0,49;1,14
188;1,21;1,15;1,19;-1,01;1,14
189;-0,31;0,04;0,41;1,44;-0,15
190;-0,20;-0,78;-0,95;0,74;-0,62
191;0,12;-0,60;0,82;-1,01;-1,01
192;0,67;1,15;1,19;1,96;1,14
193;1,21;1,15;1,19;-0,49;1,14
194;1,21;1,15;0,28;0,56;1,14
195;1,21;-0,20;0,78;-0,49;-0,62
196;-0,43;0,73;-0,59;-1,01;0,36
197;1,21;1,15;1,19;-0,49;0,29
198;0,23;0,10;-0,08;-1,18;0,32
199;-0,20;1,15;1,19;1,96;1,14
200;1,21;-0,37;0,32;0,74;1,14
201;0,67;1,15;0,78;-1,01;1,14
202;1,21;-0,20;-0,04;0,04;-0,15
203;0,24;-0,78;-0,05;0,56;-1,08
204;-0,20;1,15;0,28;1,44;0,70
205;0,33;1,15;1,19;0,56;1,14
206;-0,20;1,15;1,19;0,74;1,14
207;-0,20;-0,67;-0,04;-0,49;-0,19
208;1,21;1,15;1,19;-0,66;1,14
209;-0,64;-1,36;-0,49;0,04;-0,62
210;1,21;1,15;1,19;-0,49;1,14
211;1,21;1,15;0,41;1,96;0,20
212;-0,08;-0,67;-1,85;0,56;-1,45
213;-1,07;-0,78;-0,95;0,74;-0,62
214;0,35;1,15;0,82;0,74;0,66
215;0,24;0,57;-0,13;1,44;0,20
216;1,21;1,15;1,19;-1,71;1,14
217;-0,20;-0,78;-0,95;0,04;-0,62
218;-0,64;-1,19;-1,39;0,74;-0,62
219;0,67;-1,07;-1,32;1,96;-0,15
220;-1,18;-1,19;-1,32;0,74;-0,62
221;1,21;1,15;0,82;-1,71;1,14
222;-0,20;-0,78;-0,95;-0,49;-0,62
223;0,67;-1,07;-0,04;-0,49;1,14
224;-1,62;-0,78;-0,95;0,21;-0,62
225;-0,20;-1,60;0,78;1,26;-0,62
226;1,21;1,15;0,82;-1,18;1,14
227;-1,19;0,21;1,19;1,44;-0,62
228;-0,20;-1,60;-0,95;0,04;-1,47
229;-2,06;1,15;0,82;0,74;-0,62
230;-3,03;1,15;-0,95;-0,49;1,14
231;-1,07;1,15;0,75;-1,71;1,14
232;-0,20;-0,78;-0,95;-0,49;-0,15
233;1,21;-0,09;1,19;1,26;1,14
234;-1,19;-0,78;-0,95;0,74;-0,62
235;0,77;1,15;1,19;1,26;1,14
236;-0,20;0,73;0,82;0,74;-0,15
237;0,23;-1,19;-0,95;1,26;-0,62
238;-0,20;-1,60;-0,95;-0,49;-0,62
239;-0,20;-0,78;-0,12;-0,49;-0,62
240;-0,20;-2,18;-0,49;0,21;-0,62
241;-0,64;-1,19;-0,95;0,74;-2,39
242;-2,06;0,74;0,34;-0,49;1,14
243;0,77;0,73;0,74;1,26;0,32
244;1,21;1,15;1,19;0,04;-0,62
245;1,21;1,15;1,19;0,74;1,14
246;-0,96;0,74;1,19;-0,66;-1,08
247;1,21;1,15;1,19;1,96;1,14
248;-0,09;-0,37;-2,26;0,56;1,14
249;-0,63;-0,78;-0,95;-0,49;0,20
250;-1,07;-1,60;-0,95;0,21;-0,62
251;0,23;-0,20;1,19;0,04;-0,62
252;-0,64;-0,78;-0,95;0,74;1,14
253;-1,63;-1,60;-0,95;1,44;-2,39
254;-0,64;-0,78;-0,95;1,26;-0,62
255;1,21;0,22;1,19;-1,01;-1,91
256;0,77;-0,37;-0,05;-0,49;-1,06
257;0,24;-0,78;-0,95;-0,49;-0,62
258;-0,20;1,15;1,19;0,74;-0,15
259;-1,63;-1,19;1,19;0,39;-0,62
260;-0,20;1,15;1,19;-1,18;1,14
261;0,36;0,62;1,19;0,04;0,75
262;-0,76;-0,78;-0,53;-0,49;-1,01
263;1,21;-0,90;-0,95;-1,18;-0,24
264;0,23;-0,43;0,75;1,96;1,14
265;-0,20;-1,19;-1,40;1,26;-0,62
266;0,67;-0,78;-0,04;0,74;-0,62
267;-3,03;-1,60;-0,95;0,74;-2,39
268;0,79;0,22;-2,26;0,74;0,66
269;0,35;-0,37;-0,51;0,74;-0,62
270;1,21;1,15;1,19;1,96;1,14
271;1,21;1,15;1,19;0,04;1,14
272;1,21;-0,78;-0,12;0,74;1,14
273;0,35;0,33;0,82;-0,49;-0,15
274;-0,20;-0,61;0,41;-0,49;-0,15
275;1,21;1,15;1,19;1,96;1,14
276;-2,48;-1,60;-0,94;0,74;-2,39
277;0,24;1,15;-0,04;-1,71;-1,01
278;-0,20;-0,78;1,19;-1,18;-0,62
279;-0,20;-1,60;-0,49;0,56;-1,56
280;-0,20;-2,24;-0,95;0,74;-1,54
281;1,21;1,15;-1,86;0,21;1,14
282;-0,20;-0,78;-0,95;0,74;-0,62
283;-0,64;-0,78;-0,95;-0,49;-0,62
284;1,21;0,22;0,29;1,96;0,70
285;1,21;1,15;1,19;-1,71;-0,62
286;0,67;0,21;0,82;-1,18;1,14
287;1,21;-0,37;-0,12;-1,18;0,75
288;-0,20;-0,78;-0,95;-0,49;-0,62
289;1,21;0,62;-0,49;-0,49;0,27
290;-1,07;-1,36;-0,95;0,74;-1,08
291;-1,19;-1,77;-1,78;0,04;-2,39
292;0,24;-0,37;-0,49;0,04;-0,62
293;1,21;1,15;1,19;-1,71;1,14
294;1,21;1,15;1,19;-1,71;1,14
295;-0,20;0,33;1,19;1,26;1,14
296;-1,07;-0,78;-0,95;0,04;-1,06
297;0,67;-1,19;-0,95;-0,49;0,22
298;1,21;0,57;-0,49;-1,71;1,14
299;-1,07;-0,78;-0,95;0,74;-0,62
300;-1,62;-2,29;-1,86;-0,49;-2,85
301;-0,63;-0,20;-0,49;0,21;0,75
302;0,67;-0,66;0,36;-1,01;1,14
303;1,21;1,15;1,19;-1,71;1,14
304;1,21;0,62;1,19;-0,49;0,36
305;0,35;1,15;-0,16;1,44;0,32
306;-0,20;-1,19;-1,32;-0,49;-0,62
307;1,21;1,15;1,19;0,04;1,14
308;0,77;0,22;0,78;-1,71;1,14
309;0,23;-1,60;1,19;0,74;-0,60
310;1,21;1,15;1,19;0,04;-0,62
311;1,21;-0,78;-0,49;1,96;-0,19
312;1,21;1,15;0,74;0,74;0,32
313;-1,07;-1,60;-0,95;0,74;-0,62
314;-0,64;0,15;-0,95;0,74;-0,15
315;-0,20;-0,20;-0,58;0,04;0,20
316;-0,20;-0,78;-2,18;0,56;-2,00
317;1,21;0,73;1,19;0,74;-0,62
318;0,77;1,15;-0,04;-0,49;-0,62
319;-0,20;-0,78;-0,95;0,74;-0,62
320;1,21;1,15;1,19;-0,49;1,14
321;-1,07;1,15;1,19;-0,49;1,14
322;1,21;0,16;-0,95;1,26;-0,62
323;0,24;-0,78;1,19;-0,49;-0,62
324;-0,52;1,15;1,19;0,56;1,14
325;-0,20;-0,25;-0,95;0,04;-1,01
326;1,21;1,15;0,78;1,96;0,70
327;-1,62;-0,25;-0,49;-0,13;1,14
328;-0,20;-0,78;-0,95;-0,49;-0,62
329;0,67;0,33;-0,95;0,04;1,14
330;1,21;1,15;1,19;1,96;1,14
331;-0,31;0,73;1,19;0,56;1,14
332;-1,07;-0,78;-0,95;0,04;-0,15
333;-1,62;-1,19;-0,98;1,96;-1,91
334;0,24;-0,08;-0,49;-0,49;-0,62
335;-0,20;-1,19;-0,95;-0,49;-1,06
336;-1,07;-0,37;0,41;1,96;-2,39
337;-0,20;-0,78;-0,49;0,74;-0,62
338;-0,52;1,15;1,19;-0,49;1,14
339;-1,19;0,74;-0,49;0,04;0,32
340;-1,62;-0,78;1,19;0,04;-0,62
341;-0,20;-0,78;-0,51;0,74;-0,15
342;1,21;1,15;1,19;0,04;0,32
343;1,21;1,15;1,19;1,26;1,14
344;1,21;-1,71;-0,95;-1,18;-1,40
345;-1,62;-1,19;-0,95;0,04;-0,62
346;-0,20;-1,19;-0,49;0,74;0,32
347;-0,64;-0,25;-0,95;1,26;-1,08
348;-0,75;-0,25;-0,95;1,26;-0,62
349;0,79;1,15;0,36;0,04;0,75
350;-1,07;1,15;0,38;-0,49;0,75
351;0,67;-0,37;-0,08;0,04;1,14
352;1,21;1,15;1,19;-0,49;1,14
353;-0,20;-0,78;-0,95;0,04;-0,62
354;-1,18;1,15;1,19;-0,66;1,14
355;-0,63;-0,78;-0,51;0,21;-0,62
356;0,77;1,15;1,19;-1,71;1,14
357;-1,93;-1,60;-1,36;-1,01;-1,01
358;-1,07;-0,78;-0,95;-1,18;-0,62
359;-2,48;-1,72;-0,95;0,74;-1,91
360;-0,20;-0,78;-0,95;-0,49;-0,62
361;-1,19;0,74;0,32;0,74;0,66
362;1,21;0,73;1,19;0,21;1,14
363;1,21;0,73;0,78;0,74;0,29
364;-1,19;-0,78;-0,04;0,74;-1,01
365;-0,20;0,73;-0,95;-0,49;1,14
366;-1,19;-1,77;-1,78;0,04;-2,39
367;-0,64;-0,78;1,19;-1,18;-0,15
368;-1,50;0,74;-0,41;0,04;1,14
369;1,21;0,33;0,82;-1,71;1,14
370;1,21;0,74;1,19;-0,49;1,14
371;-1,62;1,15;1,19;-0,49;1,14
372;0,35;1,15;-0,95;-0,49;0,75
373;-0,20;-0,37;-0,95;0,74;-0,17
374;1,21;1,15;-0,95;-1,71;0,75
375;-1,07;-0,37;-0,95;0,74;-0,62
376;1,21;0,62;1,19;-0,49;1,14
377;-0,19;-0,25;1,19;0,39;-0,64
378;-0,20;0,62;-0,95;0,04;-0,15
379;-0,20;0,62;1,19;-1,71;1,14
380;-1,62;-2,06;1,19;1,26;-2,39
381;-0,20;0,22;0,41;-0,49;-0,62
382;0,67;-0,78;0,82;-0,49;-0,62
383;-0,20;-0,78;-0,95;-0,49;-0,62
384;-0,20;-1,60;-0,95;0,74;-0,62
385;1,21;0,62;-0,49;-0,49;-0,62
386;-0,20;-0,78;-0,95;0,04;-2,00
387;-0,09;1,15;1,19;0,04;1,14
388;-0,20;-0,78;-0,49;-0,49;-0,62
389;1,21;0,73;1,19;0,74;-0,62
390;-0,20;-0,78;-0,95;0,04;-0,62
391;-0,20;-1,30;-0,95;-0,49;-0,62
392;-2,04;1,15;1,19;1,26;1,14
393;-0,20;-2,18;-1,65;1,44;-2,39
394;-1,07;-0,78;-1,36;0,74;-0,62
395;1,21;1,15;1,19;-1,71;1,14
396;-0,20;-0,78;-0,54;0,04;-0,62
397;0,79;1,15;0,38;1,96;0,70
398;0,79;1,15;-1,72;-1,71;0,75
399;-1,07;-1,19;-0,95;0,21;-0,62
400;-0,20;-0,78;-0,95;-0,49;-0,62
401;-1,07;0,33;0,36;0,74;-0,62
402;1,21;0,33;1,19;1,96;1,14
403;-0,20;-1,19;-0,95;-0,49;-0,62
404;1,21;1,15;0,38;1,26;0,29
405;1,21;0,04;1,19;1,26;0,66
406;-1,07;-0,78;-0,95;0,74;-0,62
407;-0,20;-1,19;0,82;-1,18;-0,62
408;-0,64;0,62;-0,05;-1,18;0,24
409;0,67;1,15;1,19;0,74;-0,62
410;0,67;-1,19;-0,95;1,26;-0,62
411;1,21;0,22;1,19;-1,71;0,70
412;-0,20;-0,25;-0,04;0,74;1,14
413;-0,21;-2,12;-0,95;0,04;-0,62
414;-1,62;-0,25;-0,49;-1,18;-0,62
415;0,79;0,62;-0,95;-0,49;1,14
416;-0,20;-0,78;-0,95;0,04;-0,62
417;1,21;1,15;1,19;1,26;0,68
418;0,79;1,15;0,82;-1,01;1,14
419;-0,75;-0,95;-1,39;0,74;-0,62
420;1,21;1,15;1,19;-0,49;1,14
421;-1,07;0,21;-1,78;-0,49;-0,62
422;1,21;0,33;-0,04;0,74;-0,62
423;-1,62;-0,78;-0,95;0,74;-0,62
424;-0,74;-0,78;-0,95;0,74;-0,15
425;-0,20;-0,78;-0,51;0,56;-1,01
426;0,35;-0,78;-0,04;-1,18;-0,97
427;-0,75;-0,20;-0,51;-0,49;-0,16
428;-0,20;-1,19;-0,95;-0,49;-0,62
